id	texte	source
0	AI Model Indicates Global Temperatures Will Rise Faster Than Expected	NewsAPI
1	The tundra keeps burning and it’s transforming the Arctic	NewsAPI
2	[Removed]	NewsAPI
3	For Progress on Climate and Energy in 2025, Think Local	NewsAPI
4	December Wildfires Are Now a Thing	NewsAPI
5	Undocumented people are among most vulnerable to climate-infused disasters	NewsAPI
6	New York Passes Law Making Fossil Fuel Companies Pay $75 Billion for 'Climate Superfund'	NewsAPI
7	More Humanitarian Organizations Will Harness AI’s Potential	NewsAPI
8	Aqara’s new seven-inch home control tablet can replace a light switch	NewsAPI
9	Monarch butterflies will get federal protections as a threatened species	NewsAPI
10	Want government money for a heat pump? Time might be running out	NewsAPI
11	Where Does Corporate Climate Action Go Next?	NewsAPI
12	Montana Supreme Court Upholds Right To 'Stable Climate System' For Youngsters	NewsAPI
13	Monument Valley 3 is here, and it’s breaking free from its M.C. Escher–inspired origins	NewsAPI
14	College students get emotional about climate change. Some are finding help in class	NewsAPI
15	[Removed]	NewsAPI
16	Microsoft Unveils Zero-Water Data Centers To Reduce AI Climate Impact	NewsAPI
17	Morgan Stanley Latest Major US Bank To Desert Global Climate Alliance	NewsAPI
18	Stories that gave us joy (and a new exercise routine) in 2024	NewsAPI
19	Three-Quarters of the Earth Has Gotten Permanently Drier	NewsAPI
20	'Impossible' heatwaves take the lives of thousands, leaving experts dumbfounded: 'We are humans ... we have children'	NewsAPI
21	New York's Climate 'Superfund' Is Costly, Arbitrary, and Unconstitutional	NewsAPI
22	Big Storms Highlight Cities’ Efforts to Protect Water Systems	NewsAPI
23	In the Philippines, Typhoons Are Making the Christmas Season Less Merry	NewsAPI
24	The Cold Is Killing More Americans Every Year, Study Finds	NewsAPI
25	2024 was a Complicated Year for Climate Action	NewsAPI
26	Biden administration to announce 'ambitious' climate goal	NewsAPI
27	The top 20 safest cities to live in the US, ranked	NewsAPI
28	Advancements in Electrolyzer Technology Could Make Green Hydrogen Viable Sooner Than You Think	NewsAPI
29	While boomers are unretiring, exhausted Gen Z and millennials are taking a ‘micro-retirement’ from their careers	NewsAPI
30	Singapore's traditional floating fish farms are disappearing. Meet the farmers battling costs and climate to keep the trade alive.	NewsAPI
31	The Theory That Volcanoes Killed the Dinosaurs Is Officially Extinct	NewsAPI
32	It Might Be Time To Find a New Way to Talk About Climate Action	NewsAPI
33	A Controversial Plan To Refreeze the Arctic is Seeing Promising Results	NewsAPI
34	Beyond Köppen-Geiger Climate Classification System: Extensions and Alternatives	NewsAPI
35	Dreaming of a white Christmas? There's hope, depending on where you live	NewsAPI
36	US Chamber, oil industry sue Vermont over law requiring companies to pay for climate change damage	NewsAPI
37	Where Will All of Big Tech’s Nuclear Waste Go?	NewsAPI
38	Pope urges 'hope and kindness' in Thought for the Day message	NewsAPI
39	How Climate Change Could Trigger Earthquakes	NewsAPI
40	How Feminism Can Guide Climate Change Action	NewsAPI
41	Saltwater Could Contaminate 75% of Coastal Freshwater by 2100	NewsAPI
42	Environmental Diplomacy Had a Terrible Year	NewsAPI
43	Why Global Sustainability Efforts Will Continue Despite Trump	NewsAPI
44	Jimmy Carter's challenges mirror those faced by Biden	NewsAPI
45	A year of extreme weather that challenged billions	NewsAPI
46	Under Trump, an 'all of the above' energy policy is poised for a comeback	NewsAPI
47	The Arctic tundra is changing so fast that it is speeding up the climate crisis, top scientists say	NewsAPI
48	The Real Reason Everything’s Getting More Expensive	NewsAPI
